id,law_text,category,examples_count
0,「XXはXXでもXXないXXは？」が最多テンプレート：507問/1048問（48%）— 食べ物名を繰り返し、別の同音異義語で答える構造,,1
1,ダジャレ・同音異義語カテゴリが最多：535問（51%）— 言葉の音を利用した遊びが中心,,1
2,食べ物名（パン・カレー・うどん等）+ 別の同音異義語（フライパン・カレンダー・うどんげ等）の組み合わせが最も多いダジャレパターン,,1
3,動物名（干支を含む）の同音異義語：うし（牛→丑）、うま（馬→午）、さる（猿→申）、いぬ（犬→戌）、とら（虎→寅）、ねずみ（鼠→子）,,1
4,体の部位のダブルミーニング：はな（花/鼻）、かみ（髪/紙/神）、は（歯/葉）、くち（口/嘴）,,1
5,道具の名前が動詞・抽象名詞と同音：はさみ（鋏/挟み）、のり（糊/乗り/法）、かさ（傘/嵩）,,1
6,数・数字を読み替える言葉遊び：数字パターン43問 — 例：1（いち/ワン）、2（に/ツー）,,1
7,漢字の部首・構成を分解する遊び：漢字系80問,,1
8,なぞかけ定型「XXとかけてXXととく、そのこころは？」：0問 — 二つの無関係なものを共通点で結ぶ,,1
9,ひっかけ問題93問 — 問題文を字義通りではなくトリッキーに解釈,,1
10,あるある38問 — 日常の共感できる状況をなぞなぞ化,,1
11,「XXはXXでもXXないXXは？」テンプレート内の否定修飾語で答えが決まる（食べられない→フライパン、食べられる→食パン、噛めない→すりばん）,,1
12,動物の特徴を擬人化・連想：ゾウ→鼻が長い、キリン→首が長い、ペンギン→飛べない,,1
13,同一語を質問文で繰り返し（XXはXXでも）、その音を保ったまま別の単語を答える「音を借りた連想」が基本構造,,1
